tt0	tt1	status	gates	wall_s	chain
0a	c6	sat	4	0.03	F0 =  A ; F1 =  D ; D = !B  &  !C ; C = !b  &  !A ; B =  b  &   A ; A =  a  &  !c
0a	cc	sat	1	0.01	F0 =  A ; F1 =  b ; A =  a  &  !c
0e	0e	sat	2	0.01	F0 =  B ; F1 =  B ; B = !c  &  !A ; A = !a  &  !b
0e	16	sat	6	0.09	F0 =  B ; F1 = !F ; F = !C  &  !E ; E =  B  &  !D ; D =  a  &   b ; C =  c  &   A ; B = !c  &  !A ; A = !a  &  !b
0e	18	sat	6	0.08	F0 =  E ; F1 =  F ; F = !C  &  !D ; E = !c  &  !A ; D = !a  &  !c ; C = !A  &  !B ; B =  b  &  !c ; A = !a  &  !b
0e	1a	sat	5	0.05	F0 =  C ; F1 = !E ; E = !A  &  !D ; D =  c  &   B ; C = !c  &  !B ; B = !a  &  !b ; A =  a  &  !c
0e	1e	sat	4	0.03	F0 =  C ; F1 = !D ; D = !B  &  !C ; C = !c  &  !A ; B =  c  &   A ; A = !a  &  !b
0e	24	sat	6	0.08	F0 =  F ; F1 =  E ; F = !c  &  !D ; E = !B  &  !D ; D = !A  &  !C ; C =  b  &  !c ; B =  a  &  !c ; A =  a  &  !b
0e	26	sat	5	0.05	F0 =  C ; F1 = !E ; E = !A  &  !D ; D = !a  &   C ; C = !c  &  !B ; B = !a  &  !b ; A =  a  &  !b
0e	2a	sat	4	0.03	F0 =  D ; F1 =  B ; D = !c  &  !C ; C = !b  &  !B ; B =  a  &  !A ; A =  b  &   c
0e	2c	sat	6	0.08	F0 = !E ; F1 = !F ; F = !A  &  !C ; E = !A  &  !D ; D = !c  &   B ; C =  c  &   B ; B =  a  &  !b ; A =  b  &  !c
0e	2e	sat	4	0.03	F0 =  C ; F1 = !D ; D = !A  &  !C ; C = !c  &  !B ; B = !a  &  !b ; A =  a  &  !b
0e	32	sat	4	0.03	F0 =  D ; F1 =  B ; D = !c  &  !C ; C = !b  &   A ; B = !b  &  !A ; A = !a  &  !c
0e	34	sat	5	0.05	F0 =  C ; F1 = !E ; E = !B  &  !D ; D = !a  &   C ; C = !c  &  !A ; B = !b  &   c ; A = !a  &  !b
0e	36	sat	5	0.05	F0 =  C ; F1 =  E ; E = !B  &  !D ; D =  b  &  !A ; C = !c  &  !B ; B = !b  &   A ; A = !a  &  !c
0e	38	sat	6	0.08	F0 = !F ; F1 =  D ; F = !B  &  !E ; E = !c  &  !A ; D = !A  &  !C ; C =  b  &  !B ; B =  a  &  !c ; A = !b  &  !c
0e	3a	sat	5	0.05	F0 = !D ; F1 = !E ; E = !A  &  !C ; D = !A  &  !B ; C = !b  &   c ; B =  b  &  !c ; A =  a  &  !c
0e	3c	sat	5	0.05	F0 = !D ; F1 = !E ; E = !A  &  !C ; D = !A  &  !B ; C = !b  &   c ; B =  a  &  !c ; A =  b  &  !c
0e	3e	sat	4	0.03	F0 =  B ; F1 = !D ; D = !B  &  !C ; C = !b  &   c ; B = !c  &  !A ; A = !a  &  !b
0e	62	sat	5	0.05	F0 =  D ; F1 =  E ; E = !B  &  !C ; D = !c  &  !C ; C = !a  &  !b ; B =  b  &  !A ; A = !a  &   c
0e	66	sat	4	0.03	F0 =  D ; F1 =  C ; D = !c  &  !B ; C = !A  &  !B ; B = !a  &  !b ; A =  a  &   b
0e	68	sat	7	0.23	F0 =  C ; F1 = !G ; G = !D  &  !F ; F = !C  &   E ; E = !A  &  !B ; D = !c  &   B ; C = !c  &  !A ; B =  a  &   b ; A = !a  &  !b
0e	6a	sat	6	0.09	F0 =  F ; F1 =  E ; F = !c  &  !C ; E = !B  &  !D ; D =  a  &   A ; C = !a  &  !b ; B = !a  &  !A ; A =  b  &   c
0e	6e	sat	5	0.05	F0 =  B ; F1 =  E ; E = !A  &  !D ; D =  b  &   C ; C =  a  &   c ; B = !c  &  !A ; A = !a  &  !b
0e	70	sat	4	0.03	F0 =  D ; F1 =  C ; D = !c  &  !B ; C =  c  &  !A ; B = !a  &  !b ; A =  a  &   b
0e	72	sat	5	0.05	F0 =  D ; F1 = !E ; E = !A  &  !B ; D = !c  &  !C ; C = !b  &  !B ; B =  a  &  !b ; A = !a  &   c
0e	76	sat	5	0.05	F0 =  E ; F1 =  D ; E = !c  &  !A ; D = !B  &  !C ; C = !c  &   A ; B =  a  &   b ; A = !a  &  !b
0e	78	sat	6	0.08	F0 =  C ; F1 = !F ; F = !D  &  !E ; E = !c  &   A ; D =  c  &  !A ; C = !c  &  !B ; B = !a  &  !b ; A =  a  &   b
0e	7a	sat	6	0.09	F0 =  F ; F1 =  D ; F = !c  &  !E ; E = !a  &  !b ; D = !B  &  !C ; C =  c  &   A ; B = !a  &  !c ; A =  a  &   b
0e	7e	sat	5	0.05	F0 =  D ; F1 = !E ; E = !B  &  !D ; D = !c  &  !C ; C = !a  &  !b ; B =  c  &  !A ; A =  a  &   b
